"Key","Context","EN"
"Body.TidalStressDirection_TOOLTIP","","Measure of the directional scale of the relative tidal stress on the body"
"Body.TidalStressMagnitude","","Tidal Stress Magnitude"
"Body.TidalStressMagnitude_TOOLTIP","","Measure of the magnitude of the relative tidal stress on the body"
"Body.TidalHeatingEffect","","Tidal Heating Effect"
"Body.TidalHeatingEffect_TOOLTIP","","Tidal heating from dynamic tidal forces"
"Body.TidalHeatingEffectPerMass","","Tidal Heating per Mass"
"Body.TidalHeatingEffectPerMass_TOOLTIP","","Tidal heating from dynamic tidal forces per unit of mass"
"Body.Mass","","Mass"
"Body.Mass_TOOLTIP","","The amount of matter in the body"
"Body.DistanceToHost","","Distance to Host"
"Body.DistanceToHost_TOOLTIP","","Distance to strongest attractor"
"Body.DistanceToOrbitalParent","","Distance to Orbital Parent"
"Body.DistanceToOrbitalParent_TOOLTIP","","Distance from child surface to orbital parent"
"Body.Velocity","","Velocity"
"Body.VelocityLength","","Speed"
"Body.VelocityLength_TOOLTIP","","The rate at which the body is moving through space"
"Body.VelocityRelativeLength","","Relative Total Velocity"
"Body.VelocityRelativeLength_TOOLTIP","","Velocity relative to strongest attractor"
"Body.LockRotation","","Rotation Lock"
"Body.LockPosition","","Position Lock"
"Body.BodyFlagAttracting","","Attracting"
"Body.BodyFlagAttracted","","Attracted"
"Body.BodyFlagCollider","","Collider"
"Body.BodyFlagMomentumless","","Momentumless"
"Body.BodyFlagInvertedGravity","","Inverted Gravity"
"Body.BodyFlagColliderGroupMajor","","Collider Group Major"
"Body.BodyFlagFragmenting","","Fragmenting"
"Body.BodyFlagWantOrbit","","Want Orbit"
"Body.ToggleTrailComponent","","Trail Component"
"Body.DistanceToClosestStar","","Distance to Star"
"Body.EscapeVelocityFromSurface","","Escape Velocity"
"Body.EscapeVelocityFromSurface_TOOLTIP","","The minimum velocity needed for escaping the body gravitational attraction without further propulsion"
"Body.BHSpin","","Black Hole Spin"
"Body.DistanceToCamera","","Distance to You"
"AppearanceComponent.ScaleMag","","Magnetosphere"
"AppearanceComponent.ScaleMag_TOOLTIP","","Balance between solar wind and planet's protective magnetic field"
"AppearanceComponent.ShowMagneticField","","Show Magnetosphere"
"AppearanceComponent.ShowMagneticField_TOOLTIP","","Planet's protective magnetic sheath"
"AppearanceComponent.ShowMagAxis","","Show Magnetic Axis"
"AppearanceComponent.ShowMagAxis_TOOLTIP","","Show magnetic pole axis"
"AutomataComponent.Enabled","","Enable Automata"
"AutomataComponent.DisplayMode","","Display Mode"
"AutomataComponent.ShowGrid","","Show Grid"
"Celestial.Luminosity","","Luminosity"
"Celestial.Luminosity_TOOLTIP","","Total energy release every second"
"Celestial.EmissivityIR","","Infrared Emissivity"
"Celestial.SurfaceTemperature","","Surface Temperature"
"Celestial.SurfaceTemperature_TOOLTIP","","Surface temperature of the body"
"Celestial.VisualTemperature","","Visual Temperature"
"Celestial.VisualTemperature_TOOLTIP","","Global temperature of the body"
"Celestial.TidalPower","","Tidal Power"
"Celestial.TidalPower_TOOLTIP","","Amount of energy per second from tidal heating"
"Celestial.GreenhouseEffect","","Greenhouse Effect"
"Celestial.GreenhouseEffect_TOOLTIP","","How much warmer the body is because of its atmosphere"
"Celestial.EffectiveTemperature","","Effective Temperature"
"Celestial.EffectiveTemperature_TOOLTIP","","Temperature of the body, calculated from all heating sources"
"Celestial.AtmosphereMass","","Atmosphere Mass"
"Celestial.AtmosphereMass_TOOLTIP","","Total mass of the body's atmosphere"
"Celestial.SurfacePressure","","Surface Pressure"
"Celestial.SurfacePressure_TOOLTIP","","The atmospheric pressure at the surface"
"Celestial.EarthSimilarityIndex","","Earth Similarity"
"Celestial.EarthSimilarityIndex_TOOLTIP","","Earth Similarity Index | A measure of how physically similar a planetary-mass body is to Earth"
"Celestial.LifeLikelihood","","Life Likelihood"
"Celestial.LifeLikelihood_TOOLTIP","","Life Likelihood Index | Speculative comparison to Earth properties necessary for life as we know it"
"Celestial.ScaleHeight","","Scale Height"
"Celestial.Albedo","","Albedo"
"Celestial.Albedo_TOOLTIP","","Reflectivity of the body from 0 (absorbs all) to 1 (reflects all)"
"Celestial.RadiusTuningFactor","","Radius Tuning Factor"
"Celestial.RadiusTuningFactor_TOOLTIP","","Corrective value to compensate for the simplistic composition model"
"Celestial.LightPower","","Radiative Power"
"Celestial.LightPower_TOOLTIP","","Amount of energy per second absorbed from radiative sources"
"Celestial.MagneticField","","Magnetic Field"
"Celestial.MagneticField_TOOLTIP","","Body's magnetic field"
"Celestial.MagPoleAngle","","Magnetic Pole Angle"
"Celestial.MagPoleAngle_TOOLTIP","","Angle between rotation axis and magnetic pole"
"Celestial.OpticalDepth","","Optical Depth"
"Celestial.GreenhouseTemp","","Greenhouse Temp"
"Celestial.Beta","","Beta"
"Celestial.MassLoss","","Mass Loss"
"Celestial.MassLoss_TOOLTIP","","Rate of mass loss from heating and solar winds"
"Celestial.MassLossTotal","","Mass Loss Total"
"Celestial.MassLossTotal_TOOLTIP","","Total amount of mass lost from heating and solar winds"
"Celestial.AtmosphereHeightMultiplier","","Height Multiplier"
"Celestial.Realistic","","Realistic"
"Celestial.Realistic_TOOLTIP","","Turn on Stellar Evolution for this Star"
"ClimateComponent.Enabled","","Climate"
"ClimateComponent.Enabled_TOOLTIP","","Turn on temperature calculations based on latitude"
"ClimateComponent.TimeStepLimit","","Timestep Limit"
"ClimateComponent.TimeStepLimitEnabled","","Turn off When Slow"
"ClimateComponent.TimeStepLimitEnabled_TOOLTIP","","Turn off Climate when it can't keep up with simulation's time step"
"ClimateComponent.PresentClimateResolution","","Climate Resolution"
"ClimateComponent.CarbonDioxidePPMV","","Carbon Dioxide"
"ClimateComponent.CarbonDioxidePPMV_TOOLTIP","","Amount of carbon dioxide equivalent in the atmosphere, expressed as parts per million by volume (ppmv), percentage of the atmosphere (%), or relative to the 2010 or pre-industrial amount"
"ClimateComponent.CarbonDioxideGigaton","","Carbon Dioxide"
"ClimateComponent.CarbonDioxideGigaton_TOOLTIP","","Amount of carbon dioxide equivalent in the atmosphere, expressed as gigatonnes of carbon (Gt C), gigatonnes of carbon dioxide (Gt CO2), or kilograms of carbon (kg C)"
"ClimateComponent.UseClimateScenario","","RCP Scenario"
"ClimateComponent.UseClimateScenario_TOOLTIP","","Turn on a Representative Concentration Pathway (RCP) scenario that sets carbon dioxide emission rates"
"ClimateComponent.IncrementCO2","","Carbon Dioxide Emission and Deposition"
"ClimateComponent.IncrementCO2_TOOLTIP","","Add or remove carbon dioxide at a constant rate"
"ClimateComponent.EmissionRateCO2","","Emission Rate"
"ClimateComponent.EmissionRateCO2_TOOLTIP","","Set a constant rate of carbon dioxide emission over time"
"ClimateComponent.DepositionRateCO2","","Deposition Rate"
"ClimateComponent.DepositionRateCO2_TOOLTIP","","Set a constant rate of carbon dioxide removal over time"
"ClimateComponent.InfraredB","","Outgoing Longwave Energy Fit Parameter"
"ClimateComponent.DiffusionConstMagnitude","","Equator-to-Pole Diffusion"
"ClimateComponent.HadleyFlag","","Simulate Hadley Cell"
"ClimateComponent.LandHeatCapacity","","Heat Capacity of Air"
"ClimateComponent.WaterHeatCapacity","","Heat Capacity of Air + Ocean Mixed Layer"
"ClimateComponent.CouplingCoefficient","","Land-Ocean Heat Coupling Factor"
"ClimateComponent.PresentClimateScenario","","Scenario"
"ClimateComponent.AlbedoFlag","","Albedo Feedback"
"ClimateComponent.ResetFlag","","Reset Climate Simulation to Defaults?"
"OrbitalElements.GetPeriapsisDist","","Periapsis Distance"
"OrbitalElements.GetPeriapsisDist_TOOLTIP","","Distance of closest approach"
"OrbitalElements.GetApoapsisDist","","Apoapsis Distance"
"OrbitalElements.GetApoapsisDist_TOOLTIP","","Distance of furthest approach"
"OrbitalElements.Obliquity","","Obliquity"
"OrbitalElements.Obliquity_TOOLTIP","","Angle between rotation axis and orbital plane"
"OrbitalElements.ArgumentOfObliquity","","Argument of Obliquity"
"OrbitalElements.ArgumentOfObliquity_TOOLTIP","","Defines where in the orbit the rotation axis points"
"OrbitalElements.SemiMajorAxis","","Semi-Major Axis"
"OrbitalElements.SemiMajorAxis_TOOLTIP","","The typical distance from the orbital parent body | a"
"OrbitalElements.Eccentricity","","Eccentricity"
"OrbitalElements.Eccentricity_TOOLTIP","","How circular (0) to not circular (1) the orbit is | e"
"OrbitalElements.Inclination","","Inclination"
"OrbitalElements.Inclination_TOOLTIP","","Angle between the orbital plane and a reference plane | i"
"OrbitalElements.ArgOfPerigee","","Argument of Periapsis"
"OrbitalElements.ArgOfPerigee_TOOLTIP","","Describes the orientation of the orbital plane - where the closest approach point is | ω"
"OrbitalElements.RightAscOfAscNode","","Right Ascension of the Ascending Node"
"OrbitalElements.RightAscOfAscNode_TOOLTIP","","Where the orbit passes upward through the reference frame | Ω"
"OrbitalElements.MeanAnomaly","","Mean Anomaly"
"OrbitalElements.MeanAnomaly_TOOLTIP","","Where in the orbit the body currently is | M"
"OrbitalElements.LongitudeOfPeriapsis","","Longitude of Periapsis"
"OrbitalElements.LongitudeOfPeriapsis_TOOLTIP","","Defined relative to the vernal equinox"
"OrbitalElements.OrbitalPeriod","","Orbital Period"
"OrbitalElements.OrbitalPeriod_TOOLTIP","","Amount of time it takes for the body to orbit its parent"
"ParticleComponent.Temperature","","Surface Temperature"
"ParticleComponent.Temperature_TOOLTIP","","Surface temperature of the body"
"PlanetAppearance.Color1","","High Elevation"
"PlanetAppearance.Color2","","Mid Elevation"
"PlanetAppearance.Color3","","Low Elevation"
"PlanetAppearance.ShowAtmosphere","","Show Atmosphere"
"PlanetAppearance.ShowAtmosphereClouds","","Show Clouds"
"PlanetAppearance.DisplayMode","","Display Mode"
"StarAppearance.DisplayMode","","Display Mode"
"TimeZone.UTC","","Universal (UTC)"
"Galaxy.TotalMass","","Mass"
"Nova.Age","","Age"
"Nova.SuperNovaType","","Supernova Type"
"Nova.TotalCloudMass","","Cloud Mass"
"DispenserTool.AutoMass","","Auto-adjust Mass/Particle"
"DispenserTool.LaunchVelocity","","Velocity"
"DispenserTool.LaunchVelocity_TOOLTIP","","Particle velocity"
"DispenserTool.MassPerParticle","","Mass/Particle"
"DispenserTool.MassPerParticle_TOOLTIP","","Mass of each particle"
"DispenserTool.ParticlesPerSecond","","Particles/Second"
"DispenserTool.ParticlesPerSecond_TOOLTIP","","Number of particles dispensed per second"
"DispenserTool.Spread","","Spread"
"DispenserTool.Spread_TOOLTIP","","Angle in which particles are dispensed"
"ExplodeTool.ExplosionVelocity","","Velocity"
"ExplodeTool.ExplosionVelocity_TOOLTIP","","Velocity of fragments leaving the explosion"
"ExplodeTool.ExplosionEnergy","","Explosion Energy"
"ExplodeTool.ExplosionEnergy_TOOLTIP","","Amount of energy released in the explosion"
"ExplodeTool.GridResolution","","Resolution"
"ExplodeTool.EnergyAuto","","Auto Energy"
"ExplodeTool.EnergyAuto_TOOLTIP","","Automatically set explosion energy equal to 90% of the body's escape velocity"
"FireworksTool.SecondaryShellCount","","Fragments"
"FireworksTool.SecondaryShellCount_TOOLTIP","","Number of fragments when firework explodes"
"FireworksTool.LaunchVelocity","","Velocity"
"FireworksTool.LaunchVelocity_TOOLTIP","","Firework's speed"
"FireworksTool.LaunchVelocityAuto","","Auto Velocity"
"FireworksTool.LaunchVelocityAuto_TOOLTIP","","Automatically set correct escape velocity for firework"
"FireworksTool.LaunchLocation","","Location"
"FireworksTool.LaunchLocation_TOOLTIP","","Where on the body the firework is launched from"
"ForceTool.MaxRange","","Max Range"
"ForceTool.MaxRange_TOOLTIP","","Maximum range of the applied force"
"ForceTool.MinRange","","Min Range"
"ForceTool.MinRange_TOOLTIP","","Minimum range of the applied force"
"ForceTool.InnerAngle","","Inner Angle"
"ForceTool.InnerAngle_TOOLTIP","","Inner angle of the cone-shaped applied force"
"ForceTool.OuterAngle","","Outer Angle"
"ForceTool.OuterAngle_TOOLTIP","","Outer angle of the cone-shaped applied force"
"ForceTool.Mass","","Equivalent Mass"
"ForceTool.Mass_TOOLTIP","","Force strength equivalent to the gravitational force of a mass placed at the camera's position. A negative mass value will apply a repulsive force."
"LaserTool.Power","","Power of Laser"
"LaserTool.Power_TOOLTIP","","Optical power of laser"
"LaserTool.Wavelength","","Wavelength of Laser"
"LaserTool.LaserName","","Laser Type"
"LaserTool.LaserName_TOOLTIP","","Laser type based on the chosen wavelength"
"LaserTool.NonDestructive","","Non-Destructive"
"LaserTool.NonDestructive_TOOLTIP","","Use the laser as a pointer"
"PulseTool.PulseVelocity","","Velocity"
"PulseTool.PulseVelocity_TOOLTIP","","Particle velocity"
"PulseTool.PulseParticleCount","","Particles"
"PulseTool.PulseParticleCount_TOOLTIP","","Number of particles launched"
"PulseTool.PulseShape","","Shape"
"PulseTool.PulseShape_TOOLTIP","","Launch particles in a ring or a sphere (ring will be aligned to the reference plane defined below)"
"PulseTool.PulsePlaneAlignment","","Plane Alignment"
"PulseTool.PulsePlaneAlignment_TOOLTIP","","Align the ring pulse to the unverse reference plane or the selected body's reference plane"
"ShootBodyTool.LaunchVelocity","","Velocity"
"AddBodyTool.LaunchVelocity","","Launch Velocity"
"AddBodyTool.BalanceMotion","","Balance Motion"
"AddBodyTool.BalanceMotion_TOOLTIP","","Adjust velocity of companion body so binary system's momentum is 0"
"Options.PauseOnLoad","","Start all simulations paused"
"Options.PauseOnLoad_TOOLTIP","","If checked, simulations will be paused upon opening"
"Options.AntialiasingMode","","Antialiasing"
"Options.AntialiasingMode_TOOLTIP","","Smooths rough pixel edges. Lower or turn off for better performance."
"Options.Decals","","Impact Marks"
"Options.Decals_TOOLTIP","","If enabled, collisions will create 2D craters on objects"
"Options.DisplacementMapping","","Displacement Mapping"
"Options.DisplacementMapping_TOOLTIP","","If enabled, collisions will create 3D craters"
"Options.DisplacementAmount","","Displacement Amount"
"Options.DisplacementAmount_TOOLTIP","","Sets displacement depth for impact marks."
"Options.EffectsQuality","","Effects Quality"
"Options.FilteringQuality","","Filtering Quality"
"Options.Fullscreen","","Fullscreen"
"Options.Fullscreen_TOOLTIP","","Toggles Fullscreen"
"Options.FullscreenDisplay","","Fullscreen Display"
"Options.FullscreenDisplay_TOOLTIP","","For systems with multiple monitors/displays"
"Options.Glows","","Glows"
"Options.Glows_TOOLTIP","","Global setting. If enabled, stars and heated surfaces will glow. Toggle in View Settings to affect only the current simulation."
"Options.MaxAttracting","","Max Attracting Bodies"
"Options.MaxAttracting_TOOLTIP","","The maximum amount of objects which are simulated as gravitational attractors. A lower value can increase performance."
"Options.MaxDecals","","Max Impact Marks"
"Options.MaxDecals_TOOLTIP","","Maximum amount of impact marks shown on objects. Decrease for better performance."
"Options.MaxNonAttracting","","Max Non-Attracting Bodies"
"Options.MaxNonAttracting_TOOLTIP","","The maximum amount of particles which do not gravitationally affect other objects. These impact performance less than attracting bodies."
"Options.MinimalRocheFactorForTidalHeating","","Minimal Roche limit factor for tidal heating"
"Options.MinimalRocheFactorForTidalHeating_TOOLTIP","","The minimal roche limit factor for which tidal heating is enabled."
"Options.MultiCore","","Multi-Core Processing"
"Options.QualityPreset","","Quality"
"Options.QualityPreset_TOOLTIP","","Graphics presets for low, mid, and high-end hardware. Select Auto to detect best settings for your hardware."
"Options.RenderMode","","Render Mode"
"Options.Resolution","","Fullscreen Resolution"
"Options.RocheLimitPowerScalar","","Roche limit power scalar"
"Options.RocheLimitPowerScalar_TOOLTIP","","The power to raise the roche limit to when using it to calculate rate of temperature due to tidal heating."
"Options.ShadowsGlobal","","Shadows"
"Options.ShadowsGlobal_TOOLTIP","","Global setting. If enabled, objects cast shadows on other objects. Toggle in View Settings to affect only the current simulation."
"Options.SimulationQuality","","Simulation Quality"
"Options.SimulationQuality_TOOLTIP","","Presets for low, mid, and high-end hardware. Select Auto to detect best settings for your hardware."
"Options.TargetFrameRate","","Target Frame Rate"
"Options.TextureResolution","","Texture Resolution"
"Options.TextureResolution_TOOLTIP","","Texture resolution for objects and backgrounds. Lower for better performance."
"Options.TidalHeatingTemperatureRateScalar","","Tidal heating scalar"
"Options.TidalHeatingTemperatureRateScalar_TOOLTIP","","Rate of temperature change scalar for tidal teating, measured in Kelvin per second"
"Options.TidalHeatingTemperatureRateScalarInside","","Tidal heating scalar inside Roche limit"
"Options.TidalHeatingTemperatureRateScalarInside_TOOLTIP","","Rate of temperature change scalar for tidal teating when inside the roche limit, measured in Kelvin per second"
"Options.VSync","","Vertical Sync"
"Options.VSync_TOOLTIP","","Synchronizes framerate with monitor refresh rate"
"Options.PinchUsesDotProduct","","Pinch Uses DotProduct"
"Options.GestureTransitionTime","","Gesture Trans Time"
"Options.DebugAttractorRelationshipLines","","Attractor Lines"
"Options.DebugBodyMarkers","","Body Markers"
"Options.DebugImpactLines","","Impact Lines"
"Options.DebugInfo","","Debug Info"
"Options.ShowHiddenSimulations","","Show Hidden Simulations"
"Options.PauseOnCollision","","Pause on Collision"
"Options.PauseOnCollision_TOOLTIP","","If enabled, the simulation will automatically pause when there is a collision"
"Options.ShowFPS","","FPS Info"
"Options.ShowTime","","Show Time"
"Options.ParticleRenderMode","","Particle Render Mode"
"Options.UseMaximumQuality","","Max Quality for Screenshots"
"Options.UseTelnetForHorizonSims","","Use Telnet for Horizon Sims"
"Options.UserInterpolationSpeedInSeconds","","User Interpolation Speed In Seconds"
"Options.UserInterpolationSpeedInSeconds_TOOLTIP","","When changing certain properties, the duration of the smooth transition is defined as this value"
"SimulationSettings.ApplyUniversalDrag","","Universal Drag"
"SimulationSettings.ApplyUniversalDrag_TOOLTIP","","Totally fake effect - as if there were atmosphere everywhere to cause drag"
"SimulationSettings.AtmosphericDrag","","Atmospheric Drag"
"SimulationSettings.BodyColorStyle","","Object Colors"
"SimulationSettings.BodyColorStyle_TOOLTIP","","Colors objects according to a specific property"
"SimulationSettings.ParticleScaleStyle","","Particle Scales"
"SimulationSettings.ParticleScaleStyle_TOOLTIP","","Set to Exaggerated to see particles more easily, or set to Realistic for true-to-scale particles"
"SimulationSettings.CollisionMode","","Collision Mode"
"SimulationSettings.VolatileSpeedMultiplier","","Volatile Speed Multiplier"
"SimulationSettings.VolatileSpeedMultiplier_TOOLTIP","","Increase or invert the acceleration of volatiles away from stars"
"SimulationSettings.CoolingMultiplier","","Cooling Time Multiplier"
"SimulationSettings.CoolingMultiplier_TOOLTIP","","Multiplies the cooling effect"
"SimulationSettings.CoolingEnabled","","Cooling"
"SimulationSettings.CoolingEnabled_TOOLTIP","","Enables cooling over time for objects (after impact, tidal, or other types of heating)"
"SimulationSettings.CollisionHeatingEnabled","","Collision Heating"
"SimulationSettings.CollisionHeatingEnabled_TOOLTIP","","Enables heating from energy transfer during collisions"
"SimulationSettings.JeansEscapeEnabled","","Jeans Escape"
"SimulationSettings.JeansEscapeEnabled_TOOLTIP","","Enables volatiles from atmospheric escape, which can occur when a planet is heated"
"SimulationSettings.SolarWindLossEnabled","","Solar Wind Loss"
"SimulationSettings.SolarWindLossEnabled_TOOLTIP","","Enables volatiles from solar wind, which can take off a planet's outermost material, creating a comet-like tail"
"SimulationSettings.DebugVelocites","","Velocity Lines"
"SimulationSettings.DebugVelocites_TOOLTIP","","Draws a line extending from the object which represents direction and speed"
"SimulationSettings.DensityOfSpace","","Density of Space"
"SimulationSettings.DragCoefficient","","Drag Coefficient"
"SimulationSettings.DragReferenceFrame","","Drag Reference Frame"
"SimulationSettings.EclipticRays","","Rays"
"SimulationSettings.EclipticRays_TOOLTIP","","Draws a line connecting object directly to the reference plane"
"SimulationSettings.PhysicsBreakoutTime","","Physics Breakout Time"
"SimulationSettings.PhysicsBreakoutTime_TOOLTIP","","If physics calculations require multiple steps for accuracy, this will interrupt the process for quicker results"
"SimulationSettings.EnableSubStepping","","Sub-Stepping"
"SimulationSettings.EnableSubStepping_TOOLTIP","","Allows the physics simulation to take multiple steps. This lets the simulation run at a faster maximum timestep, but may cause visual errors."
"SimulationSettings.EnableCollisions","","Detect Collisions"
"SimulationSettings.EnableCollisions_TOOLTIP","","If disabled, objects will pass through each other instead of collide"
"SimulationSettings.EnableFragments","","Create Fragments"
"SimulationSettings.EnableFragments_TOOLTIP","","Master fragment creation switch"
"SimulationSettings.EnableCollisionFragments","","Collision Fragmentation"
"SimulationSettings.EnableCollisionFragments_TOOLTIP","","Collisions create fragments if enabled"
"SimulationSettings.EnableTotalBodyFragmentation","","Total Body Fragmentation"
"SimulationSettings.EnableTotalBodyFragmentation_TOOLTIP","","Collisions can completely break objects into fragments"
"SimulationSettings.EnableRocheFragmentation","","Roche Fragmentation"
"SimulationSettings.EnableRocheFragmentation_TOOLTIP","","Gravitational forces can break apart objects into fragments"
"SimulationSettings.EnableSurfaceFragmentation","","Friction Fragmentation"
"SimulationSettings.EnableSurfaceFragmentation_TOOLTIP","","Nearby explosions can rip off an object's surface"
"SimulationSettings.ProminenceDurationMultiplier","","Prominence Duration Multiplier"
"SimulationSettings.ProminenceFrequencyMultiplier","","Prominence Frequency Multiplier"
"SimulationSettings.Grid","","Grid"
"SimulationSettings.Grid_TOOLTIP","","Draws a grid on the reference plane"
"SimulationSettings.GridTextSize","","Text Size"
"SimulationSettings.GridTextSize_TOOLTIP","","Size of grid labels"
"SimulationSettings.GridWidth","","Width"
"SimulationSettings.GridWidth_TOOLTIP","","Thickness of grid lines"
"SimulationSettings.HabitableZones","","Habitable Zones"
"SimulationSettings.HabitableZones_TOOLTIP","","Shows a green Habitable Zone (also referred to as Goldilocks Zone) around stars where the temperature is suitable for liquid water on rocky planets"
"SimulationSettings.Icons","","Icons"
"SimulationSettings.Icons_TOOLTIP","","Shows 2D icons for distant bodies"
"SimulationSettings.LabelOpacity","","Opacity"
"SimulationSettings.LabelOpacity_TOOLTIP","","Label transparency"
"SimulationSettings.Labels","","Labels"
"SimulationSettings.Labels_TOOLTIP","","Shows name labels for objects in the simulation"
"SimulationSettings.RelativeMassLabels","","Relative Mass Labels"
"SimulationSettings.RelativeMassLabels_TOOLTIP","","Scales label font size relative to the most massive object in the simulation"
"SimulationSettings.Lagrange","","Lagrange Points"
"SimulationSettings.LightingMode","","Lighting Mode"
"SimulationSettings.LightingMode_TOOLTIP","","The source of light in the simulation"
"SimulationSettings.LightIntensity","","Light Intensity"
"SimulationSettings.LightIntensity_TOOLTIP","","Brightness of light source"
"SimulationSettings.LongLatitude","","Long/Latitude Lines"
"SimulationSettings.LongLatitude_TOOLTIP","","Displays longitudinal and latitudinal lines for selected objects (longitude: pole to pole; latitude: east to west)"
"SimulationSettings.OrbitContext","","Orbit Context"
"SimulationSettings.OrbitContext_TOOLTIP","","Draw orbits for all objects or only selected object"
"SimulationSettings.OrbitIntensity","","Orbit Intensity"
"SimulationSettings.OrbitIntensity_TOOLTIP","","Brightness of orbital lines"
"SimulationSettings.OrbitWidth","","Orbit Width"
"SimulationSettings.ParticleDensity","","Particle Density"
"SimulationSettings.PauseDate","","Pause Date"
"SimulationSettings.PauseOnDate","","Pause on Date"
"SimulationSettings.PauseOnDate_TOOLTIP","","If enabled, the simulation automatically pauses when it reaches the date set below"
"SimulationSettings.StartPaused","","Start Paused"
"SimulationSettings.PotentialGrid","","Potential Grid"
"SimulationSettings.PotentialGridResolution","","Grid Resolution"
"SimulationSettings.ProjectedPath","","Projected Paths"
"SimulationSettings.ProjectedPath_TOOLTIP","","Draws an object's expected path, based on a simulated prediction"
"SimulationSettings.ProjectedPathContext","","Context"
"SimulationSettings.ProjectedPathContext_TOOLTIP","","Draw projected paths for all objects or only selected object"
"SimulationSettings.RayContext","","Context"
"SimulationSettings.RayContext_TOOLTIP","","Draw rays for all objects or only selected object"
"SimulationSettings.RealisticStars","","Realistic Stars"
"SimulationSettings.RegenerateTrails","","Regenerate Trails"
"SimulationSettings.Shadows","","Shadows"
"SimulationSettings.Shadows_TOOLTIP","","If enabled, objects cast shadows on other objects. Only affects current simulation"
"SimulationSettings.ShowComets","","Show Volatiles"
"SimulationSettings.ShowComets_TOOLTIP","","Shows the volatile tail from heat sources like stellar radiation. This allows comet simulation"
