"Key","EN","CATEGORY","SUBCATEGORY"
"restart","crwdns5856:0crwdne5856:0","GENERAL",""
"Time","crwdns5857:0crwdne5857:0","GENERAL",""
"increase","crwdns5858:0crwdne5858:0","GENERAL",""
"decrease","crwdns5859:0crwdne5859:0","GENERAL",""
"Gravity","crwdns5860:0crwdne5860:0","GENERAL",""
"Tolerance","crwdns5861:0crwdne5861:0","GENERAL",""
"IntegratorId","crwdns5862:0crwdne5862:0","GENERAL",""
"IntegrationMode","crwdns5863:0crwdne5863:0","GENERAL",""
"Compute Device","crwdns5864:0crwdne5864:0","GENERAL",""
"Accuracy","crwdns5865:0crwdne5865:0","GENERAL",""
"Collisions","crwdns5866:0crwdne5866:0","GENERAL",""
"Enable Collisions","crwdns5867:0crwdne5867:0","GENERAL",""
"Collision Mode","crwdns5868:0crwdne5868:0","GENERAL",""
"MaintainCenterOfMass","crwdns5869:0crwdne5869:0","GENERAL",""
"SlidingMotionDampning","crwdns5870:0crwdne5870:0","GENERAL",""
"AbsorptionRadiusScalar","crwdns5871:0crwdne5871:0","GENERAL",""
"ShockWaveRangeMultiplier","crwdns5872:0crwdne5872:0","GENERAL",""
"ShockWaveGradualEnergyScalar","crwdns5873:0crwdne5873:0","GENERAL",""
"FragmentRandomVelocityScale","crwdns5874:0crwdne5874:0","GENERAL",""
"FragmentRandomAngularVelocityScale","crwdns5875:0crwdne5875:0","GENERAL",""
"LossRatio","crwdns5876:0crwdne5876:0","GENERAL",""
"EjectionVelocityRandomScalar","crwdns5877:0crwdne5877:0","GENERAL",""
"OrthogonalEjectionVelocityScalar","crwdns5878:0crwdne5878:0","GENERAL",""
"EjectionVelocityScalar","crwdns5879:0crwdne5879:0","GENERAL",""
"Particle Density","crwdns5880:0crwdne5880:0","GENERAL",""
"Pause on Collision","crwdns5881:0crwdne5881:0","GENERAL",""
"Volatile Tails","crwdns5882:0crwdne5882:0","GENERAL",""
"Comets","crwdns5883:0crwdne5883:0","GENERAL",""
"Comet Tail Acceleration Multiplier","crwdns5884:0crwdne5884:0","GENERAL",""
"Stellar Flares","crwdns5885:0crwdne5885:0","GENERAL",""
"Flare Frequency Multiplier","crwdns5886:0crwdne5886:0","GENERAL",""
"Flare Duration Multiplier","crwdns5887:0crwdne5887:0","GENERAL",""
"Tides","crwdns5888:0crwdne5888:0","GENERAL",""
"Tidal Heating","crwdns5889:0crwdne5889:0","GENERAL",""
"Bodies heat through friction when they are deformed by tidal forces","crwdns5890:0crwdne5890:0","GENERAL",""
"Tidal Heating Multiplier as Log","crwdns5891:0crwdne5891:0","GENERAL",""
"Multiply the effect of tidal heating","crwdns5892:0crwdne5892:0","GENERAL",""
"Coming in a Future Update","crwdns5893:0crwdne5893:0","GENERAL",""
"Tidal Evolution","crwdns5894:0crwdne5894:0","GENERAL",""
"The orbit and rotation of a body is affected by tidal forces","crwdns5895:0crwdne5895:0","GENERAL",""
"Tidal Evolution Multiplier","crwdns5896:0crwdne5896:0","GENERAL",""
"Multiply the effect of tidal evolution","crwdns5897:0crwdne5897:0","GENERAL",""
"Universal Drag","crwdns5898:0crwdne5898:0","GENERAL",""
"Totally fake effect - as if there were atmosphere everywhere to cause drag","crwdns5899:0crwdne5899:0","GENERAL",""
"Drag Reference Frame","crwdns5900:0crwdne5900:0","GENERAL",""
"Density of Space","crwdns5901:0crwdne5901:0","GENERAL",""
"Drag Coefficient","crwdns5902:0crwdne5902:0","GENERAL",""
"Actions","crwdns5903:0crwdne5903:0","GENERAL",""
"Reverse All Velocities","crwdns5904:0crwdne5904:0","GENERAL",""
"Halt All Velocities","crwdns5905:0crwdne5905:0","GENERAL",""
"Halt All Rotations","crwdns5906:0crwdne5906:0","GENERAL",""
"+2% All Velocities","crwdns5907:0crwdne5907:0","GENERAL",""
"-2% All Velocities","crwdns5908:0crwdne5908:0","GENERAL",""
"+2% All Rotations","crwdns5909:0crwdne5909:0","GENERAL",""
"-2% All Rotations","crwdns5910:0crwdne5910:0","GENERAL",""
"Balance Simulation Momentum","crwdns5911:0crwdne5911:0","GENERAL",""
"Delete All Particles/Dust","crwdns5912:0crwdne5912:0","GENERAL",""
"Delete All Fragments","crwdns5913:0crwdne5913:0","GENERAL",""
"Delete All Trail Data","crwdns5914:0crwdne5914:0","GENERAL",""
"Auto Orbit","crwdns5915:0crwdne5915:0","GENERAL",""
"Focus on Center Body","crwdns5916:0crwdne5916:0","GENERAL",""
"Expand - Not in Steam","crwdns5917:0crwdne5917:0","GENERAL",""
"Shrink - Not in Steam","crwdns5918:0crwdne5918:0","GENERAL",""
"Stats","crwdns5919:0crwdne5919:0","GENERAL",""
"Body Count","crwdns5920:0crwdne5920:0","GENERAL",""
"Simulated","crwdns5921:0crwdne5921:0","GENERAL",""
"NonSimulated","crwdns5922:0crwdne5922:0","GENERAL",""
"Attracting","crwdns5923:0crwdne5923:0","GENERAL",""
"NonAttracting","crwdns5924:0crwdne5924:0","GENERAL",""
"Star Count","crwdns5925:0crwdne5925:0","GENERAL",""
"Mass","crwdns5926:0crwdne5926:0","GENERAL",""
"Velocity","crwdns5927:0crwdne5927:0","GENERAL",""
"Momentum","crwdns5928:0crwdne5928:0","GENERAL",""
"General","crwdns5929:0crwdne5929:0","GENERAL",""
"Show Trail","crwdns5930:0crwdne5930:0","GENERAL",""
"Show Orbit","crwdns5931:0crwdne5931:0","GENERAL",""
"Name","crwdns5932:0crwdne5932:0","GENERAL",""
"Radius","crwdns5933:0crwdne5933:0","GENERAL",""
"Density","crwdns5934:0crwdne5934:0","GENERAL",""
"Age","crwdns5935:0crwdne5935:0","GENERAL",""
"Surface Temperature","crwdns5936:0crwdne5936:0","GENERAL",""
"Surface temperature of the body","crwdns5937:0crwdne5937:0","GENERAL",""
"Total Velocity","crwdns5938:0crwdne5938:0","GENERAL",""
"Relative Total Velocity","crwdns5939:0crwdne5939:0","GENERAL",""
"Relative Body","crwdns5940:0crwdne5940:0","GENERAL",""
"Orbital Parent","crwdns5941:0crwdne5941:0","GENERAL",""
"The body that this body orbits","crwdns5942:0crwdne5942:0","GENERAL",""
"Rotational Period","crwdns5943:0crwdne5943:0","GENERAL",""
"Amount of time it takes for this body to spin once","crwdns5944:0crwdne5944:0","GENERAL",""
"Position Lock","crwdns5945:0crwdne5945:0","GENERAL",""
"Tidally Lock","crwdns5946:0crwdne5946:0","GENERAL",""
"Display Settings","crwdns5947:0crwdne5947:0","GENERAL",""
"Hide Rotation","crwdns5948:0crwdne5948:0","GENERAL",""
"Display Mode","crwdns5949:0crwdne5949:0","GENERAL",""
"DisplayFlags","crwdns5950:0crwdne5950:0","GENERAL",""
"Axis","crwdns5951:0crwdne5951:0","GENERAL",""
"Obliquity","crwdns5952:0crwdne5952:0","GENERAL",""
"Angle between rotation axis and orbital plane","crwdns5953:0crwdne5953:0","GENERAL",""
"Argument of Obliquity","crwdns5954:0crwdne5954:0","GENERAL",""
"Defines where in the orbit the rotation axis points","crwdns5955:0crwdne5955:0","GENERAL",""
"Orbital Elements","crwdns5956:0crwdne5956:0","GENERAL",""
"Semi-Major Axis","crwdns5957:0crwdne5957:0","GENERAL",""
"The typical distance from the orbital parent body","crwdns5958:0crwdne5958:0","GENERAL",""
"Eccentricity","crwdns5959:0crwdne5959:0","GENERAL",""
"How circular (0) to not circular (1) the orbit is","crwdns5960:0crwdne5960:0","GENERAL",""
"Inclination","crwdns5961:0crwdne5961:0","GENERAL",""
"Angle between the orbital plane and a reference plane","crwdns5962:0crwdne5962:0","GENERAL",""
"Argument of Periapsis","crwdns5963:0crwdne5963:0","GENERAL",""
"Describes the orientation of the orbital plane - where the closest approach point is","crwdns5964:0crwdne5964:0","GENERAL",""
"Right Ascension of the Ascending Node","crwdns5965:0crwdne5965:0","GENERAL",""
"Where the orbit passes upward through the reference frame","crwdns5966:0crwdne5966:0","GENERAL",""
"Mean Anomaly","crwdns5967:0crwdne5967:0","GENERAL",""
"Where in the orbit the body currently is","crwdns5968:0crwdne5968:0","GENERAL",""
"Orbital Period","crwdns5969:0crwdne5969:0","GENERAL",""
"Amount of time it takes for the body to orbit its parent","crwdns5970:0crwdne5970:0","GENERAL",""
"Periapsis Distance","crwdns5971:0crwdne5971:0","GENERAL",""
"Distance of closest approach","crwdns5972:0crwdne5972:0","GENERAL",""
"Apoapsis Distance","crwdns5973:0crwdne5973:0","GENERAL",""
"Distance of furthest approach","crwdns5974:0crwdne5974:0","GENERAL",""
"Temperature","crwdns5975:0crwdne5975:0","GENERAL",""
"Tidal Power","crwdns5976:0crwdne5976:0","GENERAL",""
"Amount of energy per second from tidal heating","crwdns5977:0crwdne5977:0","GENERAL",""
"Radiative Power","crwdns5978:0crwdne5978:0","GENERAL",""
"Amount of energy per second absorbed from radiative sources","crwdns5979:0crwdne5979:0","GENERAL",""
"Effective Temperature","crwdns5980:0crwdne5980:0","GENERAL",""
"Calculated from all heating sources","crwdns5981:0crwdne5981:0","GENERAL",""
"Dynamic","crwdns5982:0crwdne5982:0","GENERAL",""
"Position","crwdns5983:0crwdne5983:0","GENERAL",""
"Orientation","crwdns5984:0crwdne5984:0","GENERAL",""
"AngularVelocity","crwdns5985:0crwdne5985:0","GENERAL",""
"SubStepCount","crwdns5986:0crwdne5986:0","GENERAL",""
"Camera Relative","crwdns5987:0crwdne5987:0","GENERAL",""
"Normalized Light Curve","crwdns5988:0crwdne5988:0","GENERAL",""
"Fraction of star light reaching the camera","crwdns5989:0crwdne5989:0","GENERAL",""
"Radial Velocity","crwdns5990:0crwdne5990:0","GENERAL",""
"Speed of selected object toward or away from the camera","crwdns5991:0crwdne5991:0","GENERAL",""
"Camera Inclination","crwdns5992:0crwdne5992:0","GENERAL",""
"Angle between plane and camera position","crwdns5993:0crwdne5993:0","GENERAL",""
"Camera Azimuth","crwdns5994:0crwdne5994:0","GENERAL",""
"Camera Rotation Angle","crwdns5995:0crwdne5995:0","GENERAL",""
"Albedo","crwdns5996:0crwdne5996:0","GENERAL",""
"Reflectivity of the body from 0-1","crwdns5997:0crwdne5997:0","GENERAL",""
"Albedo Feedback","crwdns5998:0crwdne5998:0","GENERAL",""
"Greenhouse Effect","crwdns5999:0crwdne5999:0","GENERAL",""
"How Much Warmer Than Without an Atmosphere","crwdns6000:0crwdne6000:0","GENERAL",""
"Atmosphere Mass","crwdns6001:0crwdne6001:0","GENERAL",""
"Surface Pressure","crwdns6002:0crwdne6002:0","GENERAL",""
"Scale Height","crwdns6003:0crwdne6003:0","GENERAL",""
"Enable Climate","crwdns6004:0crwdne6004:0","GENERAL",""
"Temperature Depends on Latitude","crwdns6005:0crwdne6005:0","GENERAL",""
"Optimize for Climate View","crwdns6006:0crwdne6006:0","GENERAL",""
"Show Atmosphere","crwdns6007:0crwdne6007:0","GENERAL",""
"Show Clouds","crwdns6008:0crwdne6008:0","GENERAL",""
"Heat Capacity of Air","crwdns6009:0crwdne6009:0","GENERAL",""
"Heat Capacity of Air + Ocean Mixed Layer","crwdns6010:0crwdne6010:0","GENERAL",""
"Land-Ocean Heat Coupling Factor","crwdns6011:0crwdne6011:0","GENERAL",""
"Equator-to-Pole Diffusion","crwdns6012:0crwdne6012:0","GENERAL",""
"Simulate Hadley Cell","crwdns6013:0crwdne6013:0","GENERAL",""
"Reset Climate to Default","crwdns6014:0crwdne6014:0","GENERAL",""
"Defines direction the rotation axis points","crwdns6015:0crwdne6015:0","GENERAL",""
"Avg. Distance to Star","crwdns6016:0crwdne6016:0","GENERAL",""
"The average distance to the Sun","crwdns6017:0crwdne6017:0","GENERAL",""
"Cumulative Properties","crwdns6018:0crwdne6018:0","GENERAL",""
"Debug Tools","crwdns6019:0crwdne6019:0","GENERAL",""
"RadiusTuningFactor","crwdns6020:0crwdne6020:0","GENERAL",""
"disableInterpolation","crwdns6021:0crwdne6021:0","GENERAL",""
"linkMassToBody","crwdns6022:0crwdne6022:0","GENERAL",""
"linkRadiusToBody","crwdns6023:0crwdne6023:0","GENERAL",""
"linkAtmosphere","crwdns6024:0crwdne6024:0","GENERAL",""
"PastType","crwdns6025:0crwdne6025:0","GENERAL",""
"PresentType","crwdns6026:0crwdne6026:0","GENERAL",""
"FutureType","crwdns6027:0crwdne6027:0","GENERAL",""
"Transition","crwdns6028:0crwdne6028:0","GENERAL",""
"Category","crwdns6029:0crwdne6029:0","GENERAL",""
"Base","crwdns6030:0crwdne6030:0","GENERAL",""
"Celestial","crwdns6031:0crwdne6031:0","GENERAL",""
"ChartComponent","crwdns6032:0crwdne6032:0","GENERAL",""
"OrbitalElements","crwdns6033:0crwdne6033:0","GENERAL",""
"AppearanceComponent","crwdns6034:0crwdne6034:0","GENERAL",""
"Composition","crwdns6035:0crwdne6035:0","GENERAL",""
"DustParticleTail","crwdns6036:0crwdne6036:0","GENERAL",""
"IonTail","crwdns6037:0crwdne6037:0","GENERAL",""
"TrailComponent","crwdns6038:0crwdne6038:0","GENERAL",""
"ClimateComponent","crwdns6039:0crwdne6039:0","GENERAL",""
"Persistence","crwdns6040:0crwdne6040:0","GENERAL",""
"Save this object","crwdns6041:0crwdne6041:0","GENERAL",""
"Open Bodies Folder","crwdns6042:0crwdne6042:0","GENERAL",""
"Misc","crwdns6043:0crwdne6043:0","GENERAL",""
"Launch Fireworks","crwdns6044:0crwdne6044:0","GENERAL",""
"Zero Velocity","crwdns6045:0crwdne6045:0","GENERAL",""
"Explosion","crwdns6046:0crwdne6046:0","GENERAL",""
"Energy","crwdns6047:0crwdne6047:0","GENERAL",""
"Mars","crwdns6048:0crwdne6048:0","GENERAL",""
"Find","crwdns6049:0crwdne6049:0","GENERAL",""
"All","crwdns6050:0crwdne6050:0","GENERAL",""
"Internal","crwdns6051:0crwdne6051:0","GENERAL",""
"Bugs","crwdns6052:0crwdne6052:0","GENERAL",""
"Old Internal","crwdns6053:0crwdne6053:0","GENERAL",""
"Solar Sys","crwdns6054:0crwdne6054:0","GENERAL",""
"Planets","crwdns6055:0crwdne6055:0","GENERAL",""
"Exoplanets","crwdns6056:0crwdne6056:0","GENERAL",""
"Supernovas","crwdns6057:0crwdne6057:0","GENERAL",""
"Stress Tests","crwdns6058:0crwdne6058:0","GENERAL",""
"Experiments","crwdns6059:0crwdne6059:0","GENERAL",""
"Human Scale","crwdns6060:0crwdne6060:0","GENERAL",""
"Other Tests","crwdns6061:0crwdne6061:0","GENERAL",""
"My Sims","crwdns6062:0crwdne6062:0","GENERAL",""
"Choreo","crwdns6063:0crwdne6063:0","GENERAL",""
"Systems","crwdns6064:0crwdne6064:0","GENERAL",""
"Galaxies","crwdns6065:0crwdne6065:0","GENERAL",""
"Encounters","crwdns6066:0crwdne6066:0","GENERAL",""
"Grids","crwdns6067:0crwdne6067:0","GENERAL",""
"Chaotic Orbits","crwdns6068:0crwdne6068:0","GENERAL",""
"Stars","crwdns6069:0crwdne6069:0","GENERAL",""
"Minor","crwdns6070:0crwdne6070:0","GENERAL",""
"Black Holes","crwdns6071:0crwdne6071:0","GENERAL",""
"Common","crwdns6072:0crwdne6072:0","GENERAL",""
"Moons","crwdns6073:0crwdne6073:0","GENERAL",""
"Objects","crwdns6074:0crwdne6074:0","GENERAL",""
"User Objects","crwdns6075:0crwdne6075:0","GENERAL",""
"Rings","crwdns6076:0crwdne6076:0","GENERAL",""
"1D","crwdns6077:0crwdne6077:0","GENERAL",""
"2D","crwdns6078:0crwdne6078:0","GENERAL",""
"3D","crwdns6079:0crwdne6079:0","GENERAL",""
"Procedural","crwdns6080:0crwdne6080:0","GENERAL",""
"Textured","crwdns6081:0crwdne6081:0","GENERAL",""
"Planet","crwdns6082:0crwdne6082:0","GENERAL",""
"Basic","crwdns6083:0crwdne6083:0","GENERAL",""
"Materials","crwdns6084:0crwdne6084:0","GENERAL",""
"Orcus","crwdns6085:0crwdne6085:0","GENERAL",""
"Climate","crwdns6086:0crwdne6086:0","GENERAL",""
"Copy Language Keys to Clipboard","crwdns6087:0crwdne6087:0","GENERAL",""
"High","crwdns6088:0crwdne6088:0","GENERAL",""
"Medium","crwdns6089:0crwdne6089:0","GENERAL",""
"Low","crwdns6090:0crwdne6090:0","GENERAL",""
"Off","crwdns6091:0crwdne6091:0","GENERAL",""
"2x   Multisampling","crwdns7227:0crwdne7227:0","GENERAL",""
"4x   Multisampling","crwdns7228:0crwdne7228:0","GENERAL",""
"8x   Multisampling","crwdns7229:0crwdne7229:0","GENERAL",""
"Realistic","crwdns6095:0crwdne6095:0","GENERAL",""
"Wireframe","crwdns6096:0crwdne6096:0","GENERAL",""
"Retro","crwdns6097:0crwdne6097:0","GENERAL",""
"Sketchbook","crwdns6098:0crwdne6098:0","GENERAL",""
"Relief","crwdns6099:0crwdne6099:0","GENERAL",""
"Underwater","crwdns6100:0crwdne6100:0","GENERAL",""
"Selected","crwdns6101:0crwdne6101:0","GENERAL",""
"Auto","crwdns6102:0crwdne6102:0","GENERAL",""
"Studio","crwdns6103:0crwdne6103:0","GENERAL",""
"Flash Light","crwdns6104:0crwdne6104:0","GENERAL",""
"Acceleration","crwdns6105:0crwdne6105:0","GENERAL",""
"Physics","crwdns6106:0crwdne6106:0","GENERAL",""
"Flat","crwdns6107:0crwdne6107:0","GENERAL",""
"Billboard","crwdns6108:0crwdne6108:0","GENERAL",""
"Cross","crwdns6109:0crwdne6109:0","GENERAL",""
"Color","crwdns6110:0crwdne6110:0","GENERAL",""
"Pressure","crwdns6111:0crwdne6111:0","GENERAL",""
"Gauss","crwdns6112:0crwdne6112:0","GENERAL",""
"Circular","crwdns6113:0crwdne6113:0","GENERAL",""
"Additive","crwdns6114:0crwdne6114:0","GENERAL",""
"Alpha","crwdns6115:0crwdne6115:0","GENERAL",""
"Time +","crwdns6116:0crwdne6116:0","GENERAL",""
"TimeStepModeDependant","crwdns6117:0crwdne6117:0","GENERAL",""
"Euler Explicit","crwdns6118:0crwdne6118:0","GENERAL",""
"Euler Semi Implicit","crwdns6119:0crwdne6119:0","GENERAL",""
"RK2","crwdns6120:0crwdne6120:0","GENERAL",""
"RK4","crwdns6121:0crwdne6121:0","GENERAL",""
"RKF","crwdns6122:0crwdne6122:0","GENERAL",""
"Velocity Verlet","crwdns6123:0crwdne6123:0","GENERAL",""
