"Key","EN","CATEGORY","SUBCATEGORY"
"Icons","Icons","GENERAL",""
"Trails","Trails","GENERAL",""
"Context","Context","GENERAL",""
"Width","Width","GENERAL",""
"Length","Length","GENERAL",""
"Intensity","Intensity","GENERAL",""
"Orbits","Orbits","GENERAL",""
"Orbit Context","Orbit Context","GENERAL",""
"Orbit Width","Orbit Width","GENERAL",""
"Orbit Intensity","Orbit Intensity","GENERAL",""
"Projected Paths","Projected Paths","GENERAL",""
"Rays","Rays","GENERAL",""
"Long/Latitude Lines","Long/Latitude Lines","GENERAL",""
"Velocity Lines","Velocity Lines","GENERAL",""
"Lighting Mode","Lighting Mode","GENERAL",""
"Light Intensity","Light Intensity","GENERAL",""
"Body Colors","Body Colors","GENERAL",""
"Habitable Zones","Habitable Zones","GENERAL",""
"SPH - Hidden in Build","SPH - Hidden in Build","GENERAL",""
"SPH Display Mode","SPH Display Mode","GENERAL",""
"SPH Sample Mode","SPH Sample Mode","GENERAL",""
"SPH Render Mode","SPH Render Mode","GENERAL",""
"View","View","GENERAL",""
"Simulation","Simulation","GENERAL",""
"Help","Help","GENERAL",""
"Edit","Edit","GENERAL",""
"home","home","GENERAL",""
"select","select","GENERAL",""
"edit","edit","GENERAL",""
"add","add","GENERAL",""
"powers","powers","GENERAL",""
"script","script","GENERAL",""
"play_pause","play_pause","GENERAL",""
"sim","sim","GENERAL",""
"view","view","GENERAL",""
"chart","chart","GENERAL",""
"standard","standard","GENERAL",""
"find","find","GENERAL",""
"help","help","GENERAL",""
"feedback","feedback","GENERAL",""
"profiler","profiler","GENERAL",""
"restart","restart","GENERAL",""
"Time","Time","GENERAL",""
"increase","increase","GENERAL",""
"decrease","decrease","GENERAL",""
"Gravity","Gravity","GENERAL",""
"Tolerance","Tolerance","GENERAL",""
"IntegratorId","IntegratorId","GENERAL",""
"IntegrationMode","IntegrationMode","GENERAL",""
"Compute Device","Compute Device","GENERAL",""
"Accuracy","Accuracy","GENERAL",""
"Collisions","Collisions","GENERAL",""
"Enable Collisions","Enable Collisions","GENERAL",""
"Collision Mode","Collision Mode","GENERAL",""
"MaintainCenterOfMass","MaintainCenterOfMass","GENERAL",""
"SlidingMotionDampning","SlidingMotionDampning","GENERAL",""
"AbsorptionRadiusScalar","AbsorptionRadiusScalar","GENERAL",""
"ShockWaveRangeMultiplier","ShockWaveRangeMultiplier","GENERAL",""
"ShockWaveGradualEnergyScalar","ShockWaveGradualEnergyScalar","GENERAL",""
"FragmentRandomVelocityScale","FragmentRandomVelocityScale","GENERAL",""
"FragmentRandomAngularVelocityScale","FragmentRandomAngularVelocityScale","GENERAL",""
"LossRatio","LossRatio","GENERAL",""
"EjectionVelocityRandomScalar","EjectionVelocityRandomScalar","GENERAL",""
"OrthogonalEjectionVelocityScalar","OrthogonalEjectionVelocityScalar","GENERAL",""
"EjectionVelocityScalar","EjectionVelocityScalar","GENERAL",""
"Particle Density","Particle Density","GENERAL",""
"Pause on Collision","Pause on Collision","GENERAL",""
"Volatile Tails","Volatile Tails","GENERAL",""
"Comets","Comets","GENERAL",""
"Comet Tail Acceleration Multiplier","Comet Tail Acceleration Multiplier","GENERAL",""
"Stellar Flares","Stellar Flares","GENERAL",""
"Flare Frequency Multiplier","Flare Frequency Multiplier","GENERAL",""
"Flare Duration Multiplier","Flare Duration Multiplier","GENERAL",""
"Tides","Tides","GENERAL",""
"Tidal Heating","Tidal Heating","GENERAL",""
"Bodies heat through friction when they are deformed by tidal forces","Bodies heat through friction when they are deformed by tidal forces","GENERAL",""
"Tidal Heating Multiplier as Log","Tidal Heating Multiplier as Log","GENERAL",""
"Multiply the effect of tidal heating","Multiply the effect of tidal heating","GENERAL",""
"Coming in a Future Update","Coming in a Future Update","GENERAL",""
"Tidal Evolution","Tidal Evolution","GENERAL",""
"The orbit and rotation of a body is affected by tidal forces","The orbit and rotation of a body is affected by tidal forces","GENERAL",""
"Tidal Evolution Multiplier","Tidal Evolution Multiplier","GENERAL",""
"Multiply the effect of tidal evolution","Multiply the effect of tidal evolution","GENERAL",""
"Universal Drag","Universal Drag","GENERAL",""
"Totally fake effect - as if there were atmosphere everywhere to cause drag","Totally fake effect - as if there were atmosphere everywhere to cause drag","GENERAL",""
"Drag Reference Frame","Drag Reference Frame","GENERAL",""
"Density of Space","Density of Space","GENERAL",""
"Drag Coefficient","Drag Coefficient","GENERAL",""
"Actions","Actions","GENERAL",""
"Reverse All Velocities","Reverse All Velocities","GENERAL",""
"Halt All Velocities","Halt All Velocities","GENERAL",""
"Halt All Rotations","Halt All Rotations","GENERAL",""
"+2% All Velocities","+2% All Velocities","GENERAL",""
"-2% All Velocities","-2% All Velocities","GENERAL",""
"+2% All Rotations","+2% All Rotations","GENERAL",""
"-2% All Rotations","-2% All Rotations","GENERAL",""
"Balance Simulation Momentum","Balance Simulation Momentum","GENERAL",""
"Delete All Particles/Dust","Delete All Particles/Dust","GENERAL",""
"Delete All Fragments","Delete All Fragments","GENERAL",""
"Delete All Trail Data","Delete All Trail Data","GENERAL",""
"Auto Orbit","Auto Orbit","GENERAL",""
"Focus on Center Body","Focus on Center Body","GENERAL",""
"Expand - Not in Steam","Expand - Not in Steam","GENERAL",""
"Shrink - Not in Steam","Shrink - Not in Steam","GENERAL",""
"Stats","Info & Stats","GENERAL",""
"Body Count","Body Count","GENERAL",""
"Simulated","Simulated","GENERAL",""
"NonSimulated","NonSimulated","GENERAL",""
"Attracting","Attracting","GENERAL",""
"NonAttracting","NonAttracting","GENERAL",""
"Star Count","Star Count","GENERAL",""
"Mass","Mass","GENERAL",""
"Velocity","Velocity","GENERAL",""
"Momentum","Momentum","GENERAL",""
"General","General","GENERAL",""
"Show Trail","Show Trail","GENERAL",""
"Show Orbit","Show Orbit","GENERAL",""
"Name","Name","GENERAL",""
"Radius","Radius","GENERAL",""
"Density","Density","GENERAL",""
"Age","Age","GENERAL",""
"Surface Temperature","Surface Temperature","GENERAL",""
"Surface temperature of the body","Surface temperature of the body","GENERAL",""
"Total Velocity","Total Velocity","GENERAL",""
"Relative Total Velocity","Relative Total Velocity","GENERAL",""
"Relative Body","Relative Body","GENERAL",""
"Orbital Parent","Orbital Parent","GENERAL",""
"The body that this body orbits","The body that this body orbits","GENERAL",""
"Rotational Period","Rotational Period","GENERAL",""
"Amount of time it takes for this body to spin once","Amount of time it takes for this body to spin once","GENERAL",""
"Position Lock","Position Lock","GENERAL",""
"Tidally Lock","Tidally Lock","GENERAL",""
"Display Settings","Display Settings","GENERAL",""
"Hide Rotation","Hide Rotation","GENERAL",""
"Display Mode","Display Mode","GENERAL",""
"DisplayFlags","DisplayFlags","GENERAL",""
"Axis","Axis","GENERAL",""
"Obliquity","Obliquity","GENERAL",""
"Angle between rotation axis and orbital plane","Angle between rotation axis and orbital plane","GENERAL",""
"Argument of Obliquity","Argument of Obliquity","GENERAL",""
"Defines where in the orbit the rotation axis points","Defines where in the orbit the rotation axis points","GENERAL",""
"Orbital Elements","Orbital Elements","GENERAL",""
"Semi-Major Axis","Semi-Major Axis","GENERAL",""
"The typical distance from the orbital parent body","The typical distance from the orbital parent body","GENERAL",""
"Eccentricity","Eccentricity","GENERAL",""
"How circular (0) to not circular (1) the orbit is","How circular (0) to not circular (1) the orbit is","GENERAL",""
"Inclination","Inclination","GENERAL",""
"Angle between the orbital plane and a reference plane","Angle between the orbital plane and a reference plane","GENERAL",""
"Argument of Periapsis","Argument of Periapsis","GENERAL",""
"Describes the orientation of the orbital plane - where the closest approach point is","Describes the orientation of the orbital plane - where the closest approach point is","GENERAL",""
"Right Ascension of the Ascending Node","Right Ascension of the Ascending Node","GENERAL",""
"Where the orbit passes upward through the reference frame","Where the orbit passes upward through the reference frame","GENERAL",""
"Mean Anomaly","Mean Anomaly","GENERAL",""
"Where in the orbit the body currently is","Where in the orbit the body currently is","GENERAL",""
"Orbital Period","Orbital Period","GENERAL",""
"Amount of time it takes for the body to orbit its parent","Amount of time it takes for the body to orbit its parent","GENERAL",""
"Periapsis Distance","Periapsis Distance","GENERAL",""
"Distance of closest approach","Distance of closest approach","GENERAL",""
"Apoapsis Distance","Apoapsis Distance","GENERAL",""
"Distance of furthest approach","Distance of furthest approach","GENERAL",""
"Temperature","Temperature","GENERAL",""
"Tidal Power","Tidal Power","GENERAL",""
"Amount of energy per second from tidal heating","Amount of energy per second from tidal heating","GENERAL",""
"Radiative Power","Radiative Power","GENERAL",""
"Amount of energy per second absorbed from radiative sources","Amount of energy per second absorbed from radiative sources","GENERAL",""
"Effective Temperature","Effective Temperature","GENERAL",""
"Calculated from all heating sources","Calculated from all heating sources","GENERAL",""
"Dynamic","Dynamic","GENERAL",""
"Position","Position","GENERAL",""
"Orientation","Orientation","GENERAL",""
"AngularVelocity","AngularVelocity","GENERAL",""
"SubStepCount","SubStepCount","GENERAL",""
"Camera Relative","Camera Relative","GENERAL",""
"Normalized Light Curve","Normalized Light Curve","GENERAL",""
"Fraction of star light reaching the camera","Fraction of star light reaching the camera","GENERAL",""
"Radial Velocity","Radial Velocity","GENERAL",""
"Speed of selected object toward or away from the camera","Speed of selected object toward or away from the camera","GENERAL",""
"Camera Inclination","Camera Inclination","GENERAL",""
"Angle between plane and camera position","Angle between plane and camera position","GENERAL",""
"Camera Azimuth","Camera Azimuth","GENERAL",""
"Camera Rotation Angle","Camera Rotation Angle","GENERAL",""
"Albedo","Albedo","GENERAL",""
"Reflectivity of the body from 0-1","Reflectivity of the body from 0-1","GENERAL",""
"Albedo Feedback","Albedo Feedback","GENERAL",""
"Greenhouse Effect","Greenhouse Effect","GENERAL",""
"How Much Warmer Than Without an Atmosphere","How Much Warmer Than Without an Atmosphere","GENERAL",""
"Atmosphere Mass","Atmosphere Mass","GENERAL",""
"Surface Pressure","Surface Pressure","GENERAL",""
"Scale Height","Scale Height","GENERAL",""
"Enable Climate","Enable Climate","GENERAL",""
"Temperature Depends on Latitude","Temperature Depends on Latitude","GENERAL",""
"Optimize for Climate View","Optimize for Climate View","GENERAL",""
"Show Atmosphere","Show Atmosphere","GENERAL",""
"Show Clouds","Show Clouds","GENERAL",""
"Heat Capacity of Air","Heat Capacity of Air","GENERAL",""
"Heat Capacity of Air + Ocean Mixed Layer","Heat Capacity of Air + Ocean Mixed Layer","GENERAL",""
"Land-Ocean Heat Coupling Factor","Land-Ocean Heat Coupling Factor","GENERAL",""
"Equator-to-Pole Diffusion","Equator-to-Pole Diffusion","GENERAL",""
"Simulate Hadley Cell","Simulate Hadley Cell","GENERAL",""
"Reset Climate to Default","Reset Climate to Default","GENERAL",""
"Defines direction the rotation axis points","Defines direction the rotation axis points","GENERAL",""
"Avg. Distance to Star","Avg. Distance to Star","GENERAL",""
"The average distance to the Sun","The average distance to the Sun","GENERAL",""
"Cumulative Properties","Cumulative Properties","GENERAL",""
"Debug Tools","Debug Tools","GENERAL",""
"RadiusTuningFactor","RadiusTuningFactor","GENERAL",""
"disableInterpolation","disableInterpolation","GENERAL",""
"linkMassToBody","linkMassToBody","GENERAL",""
"linkRadiusToBody","linkRadiusToBody","GENERAL",""
"linkAtmosphere","linkAtmosphere","GENERAL",""
"PastType","PastType","GENERAL",""
"PresentType","PresentType","GENERAL",""
"FutureType","FutureType","GENERAL",""
"Transition","Transition","GENERAL",""
"Category","Category","GENERAL",""
"Base","Base","GENERAL",""
"Celestial","Celestial","GENERAL",""
"ChartComponent","ChartComponent","GENERAL",""
"OrbitalElements","OrbitalElements","GENERAL",""
"AppearanceComponent","AppearanceComponent","GENERAL",""
"Composition","Composition","GENERAL",""
"DustParticleTail","DustParticleTail","GENERAL",""
"IonTail","IonTail","GENERAL",""
"TrailComponent","TrailComponent","GENERAL",""
"ClimateComponent","ClimateComponent","GENERAL",""
"Persistence","Persistence","GENERAL",""
"Save this object","Save this object","GENERAL",""
"Open Bodies Folder","Open Bodies Folder","GENERAL",""
"Misc","Misc","GENERAL",""
"Launch Fireworks","Launch Fireworks","GENERAL",""
"Zero Velocity","Zero Velocity","GENERAL",""
"Explosion","Explosion","GENERAL",""
"Energy","Energy","GENERAL",""
"Mars","Mars","GENERAL",""
"Find","Find","GENERAL",""
"All","All","GENERAL",""
"Internal","Internal","GENERAL",""
"Bugs","Bugs","GENERAL",""
"Old Internal","Old Internal","GENERAL",""
"Solar Sys","Solar Sys","GENERAL",""
"Planets","Planets","GENERAL",""
"Exoplanets","Exoplanets","GENERAL",""
"Supernovas","Supernovas","GENERAL",""
"Stress Tests","Stress Tests","GENERAL",""
"Experiments","Experiments","GENERAL",""
"Human Scale","Human Scale","GENERAL",""
"Other Tests","Other Tests","GENERAL",""
"My Sims","My Sims","GENERAL",""
"Choreo","Choreo","GENERAL",""
"Systems","Systems","GENERAL",""
"Galaxies","Galaxies","GENERAL",""
"Encounters","Encounters","GENERAL",""
"Grids","Grids","GENERAL",""
"Chaotic Orbits","Chaotic Orbits","GENERAL",""
"Stars","Stars","GENERAL",""
"Minor","Minor","GENERAL",""
"Black Holes","Black Holes","GENERAL",""
"Common","Common","GENERAL",""
"Moons","Moons","GENERAL",""
"Objects","Objects","GENERAL",""
"User Objects","User Objects","GENERAL",""
"Rings","Rings","GENERAL",""
"1D","1D","GENERAL",""
"2D","2D","GENERAL",""
"3D","3D","GENERAL",""
"Procedural","Procedural","GENERAL",""
"Textured","Textured","GENERAL",""
"Planet","Planet","GENERAL",""
"Basic","Basic","GENERAL",""
"Materials","Materials","GENERAL",""
"Orcus","Orcus","GENERAL",""
"Climate","Climate","GENERAL",""
"Copy Language Keys to Clipboard","Copy Language Keys to Clipboard","GENERAL",""
"High","High","GENERAL",""
"Medium","Medium","GENERAL",""
"Low","Low","GENERAL",""
"Off","Off","GENERAL",""
"2x   Multisampling","2x   Multisampling","GENERAL",""
"4x   Multisampling","4x   Multisampling","GENERAL",""
"8x   Multisampling","8x   Multisampling","GENERAL",""
"Realistic","Realistic","GENERAL",""
"Wireframe","Wireframe","GENERAL",""
"Retro","Retro","GENERAL",""
"Sketchbook","Sketchbook","GENERAL",""
"Relief","Relief","GENERAL",""
"Underwater","Underwater","GENERAL",""
"Selected","Selected","GENERAL",""
"Auto","Auto","GENERAL",""
"Studio","Studio","GENERAL",""
"Flash Light","Flash Light","GENERAL",""
"Acceleration","Acceleration","GENERAL",""
"Physics","Physics","GENERAL",""
"Flat","Flat","GENERAL",""
"Billboard","Billboard","GENERAL",""
"Cross","Cross","GENERAL",""
"Color","Color","GENERAL",""
"Pressure","Pressure","GENERAL",""
"Gauss","Gauss","GENERAL",""
"Circular","Circular","GENERAL",""
"Additive","Additive","GENERAL",""
"Alpha","Alpha","GENERAL",""
"Time +","Time +","GENERAL",""
"TimeStepModeDependant","TimeStepModeDependant","GENERAL",""
"Euler Explicit","Euler Explicit","GENERAL",""
"Euler Semi Implicit","Euler Semi Implicit","GENERAL",""
"RK2","RK2","GENERAL",""
"RK4","RK4","GENERAL",""
"RKF","RKF","GENERAL",""
"Velocity Verlet","Velocity Verlet","GENERAL",""
"Forest Ruth","Forest Ruth","GENERAL",""
"PEFRL","PEFRL","GENERAL",""
"Fixed","Fixed","GENERAL",""
"Global Adaptive","Global Adaptive","GENERAL",""
"Enable Fragments","Enable Fragments","GENERAL",""
"Awesome","Awesome","GENERAL",""
"Barycenter","Barycenter","GENERAL",""
"Most Massive Body","Most Massive Body","GENERAL",""
"Fixed Grid","Fixed Grid","GENERAL",""
"Info & Stats","Info & Stats","GENERAL",""
"Default","Default","GENERAL",""
"Elevation","Elevation","GENERAL",""
"Surface Features","Surface Features","GENERAL",""
"None","None","GENERAL",""
"Trail","Trail","GENERAL",""
"Orbit","Orbit","GENERAL",""
"Prefab","Prefab","GENERAL",""
"Black Hole","Black Hole","GENERAL",""
"Star","Star","GENERAL",""
"Gas Giant","Gas Giant","GENERAL",""
"Terrestrial Planet","Terrestrial Planet","GENERAL",""
"Planetoid","Planetoid","GENERAL",""
"Physics Object","Physics Object","GENERAL",""
"Lock Position","Lock Position","GENERAL",""
"Collider","Collider","GENERAL",""
"Collider Group Major","Collider Group Major","GENERAL",""
"Gravity Attracting","Gravity Attracting","GENERAL",""
"Fragmenting","Fragmenting","GENERAL",""
"Momentum Less","Momentum Less","GENERAL",""
"Collision","Collision","GENERAL",""
"Timeout","Timeout","GENERAL",""
"Protocol","Protocol","GENERAL",""
"Nova","Nova","GENERAL",""
"Deletion","Deletion","GENERAL",""
"Regular","Regular","GENERAL",""
"Brown Dwarf","Brown Dwarf","GENERAL",""
"White Dwarf","White Dwarf","GENERAL",""
"Neutron Star","Neutron Star","GENERAL",""
"DEFAULT","DEFAULT","GENERAL",""
"FRAGMENTATION","FRAGMENTATION","GENERAL",""
"Rock","Rock","GENERAL",""
"Terran","Terran","GENERAL",""
"Desert","Desert","GENERAL",""
"Ice","Ice","GENERAL",""
"Local Laplace","Local Laplace","GENERAL",""
"Ecliptic","Ecliptic","GENERAL",""
"Equatorial","Equatorial","GENERAL",""
"Charon","Charon","GENERAL",""
"RCP8 5","RCP8 5","GENERAL",""
"RCP6","RCP6","GENERAL",""
"RCP4 5","RCP4 5","GENERAL",""
"RCP2 6","RCP2 6","GENERAL",""
"Levels","Levels","GENERAL",""
"Seed","Seed","GENERAL",""
"StarIntensity","StarIntensity","GENERAL",""
"Brightness","Brightness","GENERAL",""
"Contrast","Contrast","GENERAL",""
"Saturation","Saturation","GENERAL",""
"ClampToHorizon","ClampToHorizon","GENERAL",""
"Colors","Colors","GENERAL",""
"BaseColor","BaseColor","GENERAL",""
"Color1","Color1","GENERAL",""
"Color2","Color2","GENERAL",""
"Solid Color","Solid Color","GENERAL",""
"Texture","Texture","GENERAL",""
"Mode","Mode","GENERAL",""
"Manual","Manual","GENERAL",""
"Automatic","Automatic","GENERAL",""
"AmbientLight","AmbientLight","GENERAL",""
"Manual Ambient Color","Manual Ambient Color","GENERAL",""
"Ambient Brightness","Ambient Brightness","GENERAL",""
"BackgroundRotation","BackgroundRotation","GENERAL",""
"BackgroundTextureSource","BackgroundTextureSource","GENERAL",""
"Save as...","Save as...","GENERAL",""
"StartDate","StartDate","GENERAL",""
"StartPaused","StartPaused","GENERAL",""
"Body A","Body A","GENERAL",""
"Rotation Period","Rotation Period","GENERAL",""
"Body B","Body B","GENERAL",""
"Collider Count","Collider Count","GENERAL",""
"Sec Before Collision (real time)","Sec Before Collision (real time)","GENERAL",""
"Pos H Offset in Rad A","Pos H Offset in Rad A","GENERAL",""
"Pos V Offset in Rad A","Pos V Offset in Rad A","GENERAL",""
"Angle H","Angle H","GENERAL",""
"Angle V","Angle V","GENERAL",""
"Time Between Colliders","Time Between Colliders","GENERAL",""
"System","System","GENERAL",""
"A + B Groups","A + B Groups","GENERAL",""
"Time Offset Each Group","Time Offset Each Group","GENERAL",""
"Collision Resolution","Collision Resolution","GENERAL",""
"Velocity X","Velocity X","GENERAL",""
"Velocity Y","Velocity Y","GENERAL",""
"Velocity Z","Velocity Z","GENERAL",""
"Time Step Rate","Time Step Rate","GENERAL",""
"Real Time","Real Time","GENERAL",""
"Time Step Mode","Time Step Mode","GENERAL",""
"Reset Camera","Reset Camera","GENERAL",""
"Options","Options","GENERAL",""
"Initialize Climate","Initialize Climate","GENERAL",""
"Body","Body","GENERAL",""
"Separation in Radii","Separation in Radii","GENERAL",""
"Upward Velocity Scale","Upward Velocity Scale","GENERAL",""
"Randomize","Randomize","GENERAL",""
"Randomize Mass","Randomize Mass","GENERAL",""
"Perturb Pos in Radii","Perturb Pos in Radii","GENERAL",""
"Rate","Rate","GENERAL",""
"Integrator","Integrator","GENERAL",""
"Random Seed","Random Seed","GENERAL",""
"Center Body","Center Body","GENERAL",""
"NumberOfGasGiants","NumberOfGasGiants","GENERAL",""
"NumberOfPlanets","NumberOfPlanets","GENERAL",""
"NumberOfMoons","NumberOfMoons","GENERAL",""
"NumberOfSmallMoons","NumberOfSmallMoons","GENERAL",""
"Min Planet Distance By Star Radius","Min Planet Distance By Star Radius","GENERAL",""
"Max Planet Distance By Star Radius","Max Planet Distance By Star Radius","GENERAL",""
"Max Random Inclination of Planets","Max Random Inclination of Planets","GENERAL",""
"NumOfGalaxies","NumOfGalaxies","GENERAL",""
"numberOfParticles","numberOfParticles","GENERAL",""
"numberDMParticles","numberDMParticles","GENERAL",""
"relativeSize","relativeSize","GENERAL",""
"includeDarkMatter","includeDarkMatter","GENERAL",""
"E0","E0","GENERAL",""
"E1","E1","GENERAL",""
"E2","E2","GENERAL",""
"E3","E3","GENERAL",""
"E4","E4","GENERAL",""
"E5","E5","GENERAL",""
"E6","E6","GENERAL",""
"E7","E7","GENERAL",""
"S0","S0","GENERAL",""
"Sa","Sa","GENERAL",""
"Sb","Sb","GENERAL",""
"Sc","Sc","GENERAL",""
"S Ba","S Ba","GENERAL",""
"S Bb","S Bb","GENERAL",""
"S Bc","S Bc","GENERAL",""
"GalaxyType","GalaxyType","GENERAL",""
"SpiralArms","SpiralArms","GENERAL",""
"ArmAngle","ArmAngle","GENERAL",""
"Arrange","Arrange","GENERAL",""
"Inner Radius","Inner Radius","GENERAL",""
"Outer Radius","Outer Radius","GENERAL",""
"Right Height","Right Height","GENERAL",""
"Geo","Geo","GENERAL",""
"Radius Units","Radius Units","GENERAL",""
"Auto Bounds","Auto Bounds","GENERAL",""
"Automatically compute realistic inner and outer boundaries","Automatically compute realistic inner and outer boundaries","GENERAL",""
"Show ring gaps","Show ring gaps","GENERAL",""
"Include gaps in rings causd by unstable resonances with orbiting bodies","Include gaps in rings causd by unstable resonances with orbiting bodies","GENERAL",""
"Rectangle","Rectangle","GENERAL",""
"Ring","Ring","GENERAL",""
"Sphere","Sphere","GENERAL",""
"Box","Box","GENERAL",""
"Spiral","Spiral","GENERAL",""
"Torus","Torus","GENERAL",""
"Shape","Shape","GENERAL",""
"Fill","Fill","GENERAL",""
"Surface","Surface","GENERAL",""
"Ordered","Ordered","GENERAL",""
"Random","Random","GENERAL",""
"Spacing","Spacing","GENERAL",""
"Linear","Linear","GENERAL",""
"Quadratic","Quadratic","GENERAL",""
"Cubic","Cubic","GENERAL",""
"Exponential","Exponential","GENERAL",""
"Spriral Type","Spriral Type","GENERAL",""
"Spriral Revolutions","Spriral Revolutions","GENERAL",""
"Solar System","Solar System","GENERAL",""
"Date","Date","GENERAL",""
"Start","Start","GENERAL",""
"Encounter","Encounter","GENERAL",""
"Date Meaning","Date Meaning","GENERAL",""
"Dwarfs And Major Asteroids","Dwarfs And Major Asteroids","GENERAL",""
"Dwarfs And Asteroids","Dwarfs And Asteroids","GENERAL",""
"Dwarfs And Many Asteroids","Dwarfs And Many Asteroids","GENERAL",""
"Asteroids & Dwarfs","Asteroids & Dwarfs","GENERAL",""
"Earths Moon","Earths Moon","GENERAL",""
"Major Moons","Major Moons","GENERAL",""
"All Moons","All Moons","GENERAL",""
"Just Saturn","Just Saturn","GENERAL",""
"Visitor","Visitor","GENERAL",""
"Include Rogue Body","Include Rogue Body","GENERAL",""
"Rogue Body","Rogue Body","GENERAL",""
"Use Different Mass","Use Different Mass","GENERAL",""
