Keys,Context,ZH
Basic,,基本
Materials,,物料
Orcus,,奥喀斯
Climate,,气候
Copy Language Keys to Clipboard,,副本语言的按键到剪贴板
High,,高
Medium,,中
Low,,低
Off,,离
  2x   Multisampling,,  2X多重采样
  4x   Multisampling,,  4倍多采样
  8x   Multisampling,,  8倍速多重采样
Realistic,,实际
Wireframe,,线框
Retro,,复古
Sketchbook,,写生
Relief,,浮雕
Underwater,,水下
Selected,,选
Auto,,汽车
Studio,,工作室
Flash Light,,闪光灯
Acceleration,,促进
Physics,,物理
Flat,,平面
Billboard,,广告牌
Cross,,交叉
Color,,颜色
Pressure,,压力
Gauss,,高斯
Circular,,圆
Additive,,添加剂
Alpha,,Α
Time +,,时间+
TimeStepModeDependant,,TimeStepModeDependant
Euler Explicit,,欧拉明确
Euler Semi Implicit,,欧拉半隐式
RK2,,RK2
RK4,,RK4
RKF,,RKF
Velocity Verlet,,速度verlet的
Forest Ruth,,林露丝
PEFRL,,PEFRL
Fixed,,固定
Global Adaptive,,全局自适应
Enable Fragments,,启用片段
Awesome,,真棒
Barycenter,,重心
Most Massive Body,,最庞大的身躯
Fixed Grid,,定格
Info & Stats,,信息与统计
Default,,默认
Elevation,,海拔
Surface Features,,表面特征
None,,没有
Trail,,落后
Orbit,,轨道
Prefab,,预制
Black Hole,,黑洞
Star,,星
Gas Giant,,天然气巨头
Terrestrial Planet,,类地行星
Planetoid,,小行星
Physics Object,,物理对象
Lock Position,,锁定位置
Collider,,对撞机
Collider Group Major,,对撞机的主要组
Gravity Attracting,,重力吸引
Fragmenting,,分割
Momentum Less,,动量少
Collision,,碰撞
Timeout,,时间到
Protocol,,协议
Nova,,新星
Deletion,,删除
Regular,,定期
Brown Dwarf,,褐矮星
White Dwarf,,白矮星
Neutron Star,,中子星
DEFAULT,,默认
FRAGMENTATION,,破碎
Rock,,岩
Terran,,人族
Desert,,沙漠
Ice,,冰
Local Laplace,,当地拉普拉斯
Ecliptic,,黄道
Equatorial,,赤道
Charon,,卡戎
RCP8 5,,RCP8 5
RCP6,,RCP6
RCP4 5,,RCP4 5
RCP2 6,,RCP2 6
Levels,,水平
Seed,,种子
StarIntensity,,StarIntensity
Brightness,,亮度
Contrast,,对比
Saturation,,饱和
ClampToHorizon,,ClampToHorizo​​n
Colors,,颜色
BaseColor,,基本颜色
Color1,,COLOR1
Color2,,COLOR2
Solid Color,,纯色
Texture,,质地
Mode,,模式
Manual,,手册
Automatic,,自动
AmbientLight,,环境光
Manual Ambient Color,,手册环境色
Ambient Brightness,,环境亮度
BackgroundRotation,,BackgroundRotation
BackgroundTextureSource,,BackgroundTextureSource
Save as...,,另存为...
StartDate,,开始日期
StartPaused,,StartPaused
Body A,,形体将
Rotation Period,,自转周期
Body B,,体B
Collider Count,,撞机计数
Sec Before Collision (real time),,二段碰撞前（实时）
Pos H Offset in Rad A,,波什^ h偏移的拉德一
Pos V Offset in Rad A,,波什垂直偏移在拉德一
Angle H,,角h
Angle V,,角度v
Time Between Colliders,,时间对撞机之间
System,,系统
A + B Groups,,A + B组
Time Offset Each Group,,时间偏移每个组
Collision Resolution,,冲突解决
Velocity X,,速度x
Velocity Y,,速度ÿ
Velocity Z,,速度ž
Time Step Rate,,时间步长率
Real Time,,即时的
Time Step Mode,,时间步模式
Reset Camera,,重置相机
Options,,选项
Initialize Climate,,气候初始化
Body,,身体
Separation in Radii,,分离在半径
Upward Velocity Scale,,向上的速度规模
Randomize,,随机化
Randomize Mass,,随机质量
Perturb Pos in Radii,,干扰波什在半径
Rate,,率
Integrator,,积分
Random Seed,,随机种子
Center Body,,中心体
NumberOfGasGiants,,NumberOfGasGiants
NumberOfPlanets,,NumberOfPlanets
NumberOfMoons,,NumberOfMoons
NumberOfSmallMoons,,NumberOfSmallMoons
Min Planet Distance By Star Radius ,,闵行星距离。通过星半径
Max Planet Distance By Star Radius ,,最大行星距离。通过星半径
Max Random Inclination of Planets,,行星的最大随机倾角
NumOfGalaxies,,NumOfGalaxies
numberOfParticles,,numberOfParticles
numberDMParticles,,numberDMParticles
relativeSize,,relativeSize
includeDarkMatter,,includeDarkMatter
E0,,E0
E1,,E1
E2,,E2
E3,,E3
E4,,E4
E5,,E5
E6,,E6
E7,,E7
S0,,S0
Sa,,萨
Sb,,锑
Sc,,SC
S Ba,,小号巴
S Bb,,小号了Bb
S Bc,,小号BC
GalaxyType,,GalaxyType
SpiralArms,,SpiralArms
ArmAngle,,ArmAngle
Arrange,,安排
Inner Radius,,内径
Outer Radius,,外半径
Right Height,,右边身高
Geo,,地理
Radius Units,,半径单位
Auto Bounds,,汽车界
Automatically compute realistic inner and outer boundaries,,自动计算现实的内部和外部边界
Show ring gaps,,环秀差距
Include gaps in rings causd by unstable resonances with orbiting bodies,,包括由不稳定的共振与转动机构causd环的差距
Rectangle,,长方形
Ring,,环
Sphere,,领域
Box,,框
Spiral,,螺旋
Torus,,花托
Shape,,形状
Fill,,填
Surface,,表面
Ordered,,有序
Random,,随机
Spacing,,间距
Linear,,线性
Quadratic,,二次
Cubic,,立方体
Exponential,,指数
Spriral Type,,Spriral类型
Spriral Revolutions,,Spriral革命
Solar System,,太阳系
Date,,日期
Start,,开始
Encounter,,遭遇
Date Meaning,,日期的含义
Dwarfs And Major Asteroids,,小矮人及主要小行星
Dwarfs And Asteroids,,小矮人和小行星
Dwarfs And Many Asteroids,,小矮人等许多小行星
Asteroids & Dwarfs,,小行星和小矮人
Earths Moon,,地球月亮
Major Moons,,主要月亮
All Moons,,所有月亮
Just Saturn,,只是土星
Visitor,,游客
Include Rogue Body,,包括盗贼身体
Rogue Body,,盗贼身体
Use Different Mass,,使用不同的质量
Body Mass,,身体质量
Distance from Aim Point,,从目标点距离
Aim Target,,瞄准目标
Aim Point X Offset,,瞄准点X偏移
Aim Point Y Offset,,瞄准点Y偏移
1 - Delete Rogue Body,,1  - 删除流氓体
2 - Balance Simulation Momentum,,2  - 平衡仿真动量
3 - Delete All Trail Data,,3  - 删除所有跟踪数据
Copy Settings to Clipboard,,复制设置到剪贴板
MassValues,,MassValues
Mass Low,,质量低
Mass High,,质量高
Mass Logarithmic,,大众对数
TempValues,,TempValues
Temperature Low,,温度低
Temperature High,,温度高
Temperature Logarithmic,,温度对数
Fragment,,分段
Body Type,,体型
Four Materials,,四种材料
viewAngle,,viewAngle
Sun,,太阳
Semi Major Axis,,半轴
Right Asc Of Asc Node,,右升序升序节点
Arg Of Perigee,,arg的近地点
